period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w
2025-07-18,-0.01118012,0.00026794,-0.05690719,1,4.47703454,1.00000000,20,11,1.00000000
2025-07-22,-0.00289357,0.00247917,-0.04448801,1,4.46601828,1.00000000,20,9,1.00000000
2025-07-24,0.00486704,-0.00126677,-0.03450057,1,4.46629199,1.00000000,20,8,1.00000000
2025-07-28,0.00042091,-0.00087466,-0.03718613,1,4.48441869,1.00000000,20,10,1.00000000
2025-07-30,-0.00619213,-0.00301849,-0.06052702,1,4.65112446,1.00000000,20,10,1.00000000
2025-08-01,0.05782092,0.00460314,-0.00616390,1,4.69662831,1.00000000,20,7,1.00000000
2025-08-05,-0.00078018,-0.00001139,-0.04303307,1,4.66318124,1.00000000,20,8,1.00000000
2025-08-07,0.41364028,0.00136912,0.02820009,1,4.62575765,1.00000000,20,2,1.00000000
2025-08-11,0.00072345,-0.00085801,-0.04031082,1,4.66547684,1.00000000,20,12,1.00000000
2025-08-13,0.03591040,0.00301322,-0.01543513,1,4.70328756,1.00000000,20,11,1.00000000
2025-08-15,-0.01153162,-0.00048153,-0.05054260,1,4.51672264,1.00000000,20,10,1.00000000
2025-08-19,0.02482068,0.00273487,-0.02925773,1,4.38826182,1.00000000,20,8,1.00000000
2025-08-21,0.00685800,-0.00163034,-0.05024875,1,4.64831817,1.00000000,20,11,1.00000000
2025-08-25,0.13020799,-0.00666124,-0.00369229,1,4.46733850,1.00000000,20,8,1.00000000
2025-08-27,0.01199800,0.00136173,-0.04560147,1,4.57849790,1.00000000,20,9,1.00000000
2025-08-29,0.00891624,0.00134653,-0.03665186,1,4.57505514,1.00000000,20,8,1.00000000
2025-09-03,0.00971581,0.00074886,-0.03339347,1,4.47839936,1.00000000,20,11,1.00000000
2025-09-05,0.00081351,0.00294781,-0.04331534,1,4.50776269,1.00000000,20,10,1.00000000
2025-09-09,0.00093100,-0.00122852,-0.04168742,1,4.42448839,1.00000000,20,7,1.00000000
2025-09-11,0.00738569,0.00244471,-0.03637411,1,4.42394098,1.00000000,20,11,1.00000000
2025-09-15,0.00146456,0.00008780,-0.04283060,1,4.41639425,1.00000000,20,7,1.00000000
2025-09-17,0.07446162,-0.00099436,-0.01950766,1,4.48540072,1.00000000,20,9,1.00000000
2025-09-19,0.02558048,0.00172070,-0.04426668,1,4.57934747,1.00000000,20,7,1.00000000
2025-09-23,-0.00336342,0.00057853,-0.05112114,1,4.58123870,1.00000000,20,9,1.00000000
2025-09-25,0.07004172,-0.00169085,-0.00889667,1,4.58802895,1.00000000,20,11,1.00000000
2025-09-29,-0.00209870,0.00123182,-0.05165087,1,4.66069705,1.00000000,20,8,1.00000000
2025-10-01,0.02526055,0.00024237,-0.02078237,1,4.64963960,1.00000000,20,6,1.00000000
2025-10-03,0.02172456,-0.00014686,-0.02809992,1,4.56605079,1.00000000,20,10,1.00000000
2025-10-07,0.06021225,0.00081262,-0.02561672,1,4.74408351,1.00000000,20,11,1.00000000
2025-10-09,0.01967596,-0.00072041,-0.02635432,1,4.64163228,1.00000000,20,9,1.00000000
2025-10-13,0.01517813,0.00354825,-0.03090621,1,4.43711791,1.00000000,20,10,1.00000000
2025-10-15,0.05673849,0.00250646,-0.00181572,1,4.54210808,1.00000000,20,7,1.00000000
2025-10-17,0.01848761,0.00016975,-0.04524167,1,4.37979840,1.00000000,20,13,1.00000000
2025-10-21,0.04979357,-0.00359302,-0.01332535,1,4.36364012,1.00000000,20,10,1.00000000
2025-10-23,0.37590564,0.01508071,0.02476229,1,4.37914892,1.00000000,20,3,1.00000000
2025-10-27,-0.00244037,-0.00021212,-0.05284916,1,4.43403875,1.00000000,20,9,1.00000000
2025-10-29,0.02240177,-0.00197538,-0.02907539,1,4.46584296,1.00000000,20,9,1.00000000
2025-10-31,0.01063492,0.00000873,-0.03995821,1,4.37566098,1.00000000,20,13,1.00000000
2025-11-04,0.01651358,-0.00151755,-0.03277308,1,4.36291411,1.00000000,20,8,1.00000000
2025-11-06,0.00300495,0.00113295,-0.04744283,1,4.40037544,1.00000000,20,12,1.00000000
2025-11-10,0.00589848,0.00237202,-0.04527377,1,4.39968362,1.00000000,20,11,1.00000000
2025-11-12,0.00316310,-0.00012425,-0.04743247,1,4.46110891,1.00000000,20,11,1.00000000
2025-11-14,-0.00556756,-0.00190420,-0.05758939,1,4.55892966,1.00000000,20,13,1.00000000
2025-11-18,0.02286770,0.00029018,-0.04467302,1,4.61758003,1.00000000,20,10,1.00000000
2025-11-20,-0.00292424,-0.00165767,-0.06529237,1,4.63811227,1.00000000,20,9,1.00000000
2025-11-24,0.01181586,0.00272273,-0.04264300,1,4.60754365,1.00000000,20,11,1.00000000
2025-11-26,0.00648007,0.00114647,-0.05361044,1,4.60735885,1.00000000,20,9,1.00000000
